repo_name,file_path,stars
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/CXSparse/Tcov/cov.awk,34
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/UMFPACK/Tcov/cover.awk,34
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/UMFPACK/Tcov/ss.awk,34
scheib/chromium,third_party/protobuf/java/lite/lite.awk,34
scheib/chromium,third_party/utf/src/bin/mkrunetype.awk,34
xlgames-inc/XLE,Foreign/FreeType/builds/atari/deflinejoiner.awk,34
joncampbell123/dosbox-x,vs/freetype/builds/atari/deflinejoiner.awk,32
joncampbell123/dosbox-x,vs/libpng/scripts/checksym.awk,32
joncampbell123/dosbox-x,vs/libpng/scripts/dfn.awk,32
joncampbell123/dosbox-x,vs/libpng/scripts/options.awk,32
mockingbirdnest/Principia,astronomy/eop_c04.awk,32
mockingbirdnest/Principia,astronomy/experimental_eop_c02.awk,32
mockingbirdnest/Principia,astronomy/generate_initial_state.awk,32
mockingbirdnest/Principia,iwyu_generate_mappings.awk,32
tsuna/gohbase,check_line_len.awk,32
OnePlusOSS/android_kernel_oneplus_msm8974,Documentation/arm/Samsung/clksrc-change-registers.awk,31
OnePlusOSS/android_kernel_oneplus_msm8974,arch/x86/tools/chkobjdump.awk,31
OnePlusOSS/android_kernel_oneplus_msm8974,arch/x86/tools/distill.awk,31
OnePlusOSS/android_kernel_oneplus_msm8974,arch/x86/tools/gen-insn-attr-x86.awk,31
OnePlusOSS/android_kernel_oneplus_msm8974,lib/raid6/unroll.awk,31
OnePlusOSS/android_kernel_oneplus_msm8974,net/wireless/genregdb.awk,31
hltj/wxMEdit,packaging/debian/changelog_deb.awk,31
hltj/wxMEdit,packaging/rpm/changelog_rpm.awk,31
openjdk-mirror/jdk7u-jdk,make/sun/awt/CondenseRules.awk,31
openjdk-mirror/jdk7u-jdk,src/solaris/classes/sun/awt/X11/genhash.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jcmd/jcmd_Output1.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jcmd/jcmd_pid_Output1.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jcmd/jcmd_pid_Output2.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-V_Output2.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-Vm_Output2.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-Vvm_Output1.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-Vvml_Output1.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-Vvml_Output2.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-l_Output1.awk,31
openjdk-mirror/jdk7u-jdk,test/sun/tools/jps/jps-l_Output2.awk,31
